University,State,Campus,City
Academies Australasia Polytechnic,Victoria,Melbourne,Melbourne
Academy of Art University,,San Francisco,San Francisco
AIBT,New South Wales,Blacktown,Sydney
AIBT,Queensland,Mount Gravatt,Brisbane
AIBT,Tasmania,Hobart,Hobart
Amber Aviation Academy,Victoria,Tooradin,Tooradin
"Amber Aviation Academy, Australia",Victoria,Tooradin Airport,Tooradin
APM College of Business and Communication,New South Wales,Sydney,Sydney
Asia Pacific International College,Victoria,Melbourne,Melbourne
Asia Pacific International College,New South Wales,Parramatta,Sydney
Atmc + Charles Darwin University,Victoria,Melbourne,Melbourne
Atmc + Charles Darwin University,,,
Atmc + Federation University,Victoria,Geelong,Geelong
Atmc + University Of Sunshine Coast,Victoria,Melbourne,Melbourne
Australia Catholic University,Queensland,Ballarat,
Australia Catholic University,New South Wales,Blacktown,Sydney
Australia Catholic University,Queensland,Brisbane,
Australia institute of business and technology,Queensland,Brisbane,Brisbane
Australian Catholic University,Victoria,Aquinas,Ballarat
Australian Catholic University,Queensland,McAuley,Brisbane
Australian Catholic University,New South Wales,Signadou,Canberra
Australian Catholic University,Victoria,St Patrick’s,Melbourne
Australian Catholic University,New South Wales,MacKillop,Sydney
Australian Catholic University,New South Wales,Mount Saint Mary,Sydney
Australian College of Applied Psychology,Queensland,Brisbane,Brisbane
Australian College of Applied Psychology,South Australia,Adelaide,Adelaide
Australian College of Applied Psychology,Victoria,Melbourne,Melbourne
Australian College of Applied Psychology,New South Wales,Sydney,Sydney
Australian National University,New South Wales,Canberra,Canberra
Barton College,Victoria,West Melbourne,Melbourne
Bond University,Queensland,Gold Coast,Gold Coast
Box Hill Institute,Victoria,Elgar,Mont Albert
Canning College,Western Australia,Bentley,Perth
Central Queensland University,South Australia,Adelaide,Adelaide
Central Queensland University,Queensland,Brisbane,Brisbane
Central Queensland University,Queensland,Bundaberg,Bundaberg
Central Queensland University,Queensland,Cairns,Cairns
Central Queensland University,Queensland,Mackay,Mackay
Central Queensland University,Victoria,Melbourne,Melbourne
Central Queensland University,Queensland,Noosa,Sunshine Coast
Central Queensland University,Western Australia,Perth,Perth
Central Queensland University,Queensland,Rockahmpton,Brisbane
Central Queensland University,New South Wales,Sydney,Sydney
Charles Darwin University,Northern Territory,Casuarina,Darwin
Charles Darwin University,Victoria,Melbourne,Melbourne
Charles Darwin University,New South Wales,Sydney,Sydney
Charles Darwin University,Queensland,Waterfront Darwin,Sunshine Coast
Charles Sturt University,New South Wales,Albury-Wodonga,Albury
Charles Sturt University,New South Wales,Bathurst,Bathurst
Charles Sturt University,Queensland,Brisbane,Brisbane
Charles Sturt University,Victoria,Melbourne,Melbourne
Charles Sturt University,New South Wales,Orange,Orange
Charles Sturt University,New South Wales,Port Macquarie,Port Macquarie
Charles Sturt University,New South Wales,Sydney,Sydney
Charles Sturt University,New South Wales,Wagga Wagga,Wagga Wagga
Chisholm Institute,Victoria,Dandenong,Dandenong
Curtin University,Perth,curtin,curtin
Curtin University Of Technology,Western Australia,Bentley,Perth
Curtin University Of Technology,Western Australia,Kalgoorlie,Kalgoorlie
Curtin University Of Technology,Western Australia,Perth,Perth
Curtin University Of Technology,New South Wales,Sydney,Sydney
Deakin University,Victoria,Burwood,Melbourne
Deakin University,Victoria,Waterfront,Geelong
Deakin University,Victoria,Warrnambool,Warrnambool
Deakin University,Victoria,Waurn Ponds,Geelong
DOLPH Business School,Victoria,High Street Reservoir,Melbourne
ECA College,New South Wales,Sydney,Sydney
Edith Cowan University,Western Australia,Joondalup,Joondalup
Edith Cowan University,Western Australia,Mount Lawley,Perth
Edith Cowan University,Western Australia,South West,Bunbury
Engineering Institute of Technology,Victoria,Melbourne,Melbourne
Engineering Institute of Technology,Western Australia,Perth,Perth
Eynesbury College,South Australia,Adelaide,Adelaide
Federation University,Victoria,Ballarat,Ballarat
Federation University,Victoria,Churchill,Gippsland
Federation University,Victoria,Mount Helen,Ballarat
Federation University,Victoria,Camp Street,Ballarat
Federation University,Victoria,Berwick,Melbourne
Flinders University,South Australia,Victoria Square,Adelaide
Flinders University,South Australia,Tonsley,Adelaide
Flinders University,South Australia,Bedford Park,Adelaide
Greystone College,New South Wales,Sydney,Sydney
Griffith University,Queensland,Gold Coast,Southport
Griffith University,Queensland,Logan,Meadowbrook
Griffith University,Queensland,Mount Gravatt,Mount Gravatt
Griffith University,Queensland,Nathan,Nathan
Griffith University,Queensland,South Bank,South Bank
Iibit,New South Wales,Haymarket,Sydney
Iibit + Federation University,New South Wales,Haymarket,Sydney
Institute of science and management,New South Wales,Sydney,Sydney
International College Hotel Management,South Australia,Adelaide,Adelaide
International College Of Management,New South Wales,Sydney,Sydney
International College of Management,New South Wales,Manly,Manly
International Institute of Business and Information Technology (IIBIT),New South Wales,Haymarket,Sydney
James Cook University,Queensland,Brisbane,Brisbane
James Cook University,Queensland,Cairns,Cairns
James Cook University,Queensland,Townsville,Townsville
Kaplan Business School,South Australia,Adelaide,Adelaide
Kent Institute,New South Wales,Sydney,Sydney
Kent Institute,Victoria,Melbourne,Melbourne
La Trobe University,New South Wales,Albury - Wodonga,Wodonga
La Trobe University,Victoria,Bendigo,Bendigo
La Trobe University,Victoria,Melbourne,Melbourne
La Trobe University,New South Wales,Sydney,Sydney
La Trobe University,Victoria,City,City Queen
La Trobe University,Victoria,Mildura,Mildura
La Trobe University,Victoria,Shepparton,Shepparton
Le Cordon Bleu,South Australia,Adelaide,Adelaide
Le Cordon Bleu,Victoria,Melbourne,Melbourne
Le Cordon Bleu,Western Australia,Perth,Perth
Le Cordon Bleu,New South Wales,Sydney,Sydney
Macquarie University,Victoria,City,City Queen
Macquarie University,New South Wales,Sydney,Sydney
Macquarie University,New South Wales,North Ryde,Sydney
Melbourne Institute Of Tech + Federation University,Victoria,Melbourne CBD,Melbourne
Melbourne Institute of Technology,Victoria,Melbourne CBD,Melbourne
Monash College,Victoria,Clayton,Melbourne
Monash College,Victoria,Caulfield,Melbourne
Monash College,Victoria,Docklands,Melbourne
Monash University,Victoria,Caulfield,Melbourne
Monash University,Victoria,Clayton,Melbourne
Monash University,Victoria,Melbourne,Melbourne
Monash University,Victoria,Parkville,Melbourne
Monash University,Victoria,Peninsula,Melbourne
Monash University,Victoria,Docklands,Melbourne
Murdoch University,Western Australia,Mandurah,Perth
Murdoch University,Western Australia,Perth,Perth
Navitas + University Of Western Sydney,New South Wales,Sydney,Sydney
Oxford Education Group,Victoria,Melbourne,Melbourne
Queensland University Of Technology,Queensland,Garden Point,Brisbane
Queensland University Of Technology,Queensland,Kelvin Grove,Brisbane
Queensland University Of Technology,Saint George,Queensland,Brisbane
Reach Community College,Tasmania,Hobart,Tasmania
RMIT University,Melbourne,Melbourne,Melbourne
Royal Melbourne Institute Of Technology,Victoria,Bundoora,Melbourne
Royal Melbourne Institute Of Technology,Victoria,City Campus,Melbourne
Royal Melbourne Institute Of Technology,Victoria,Burnswick,Melbourne
Russo Business School,Queensland,Brisbane,Brisbane
South Australia Institute of Business & Technology,South Australia,Adelaide,Adelaide
South Australia Institute of Business & Technology,South Australia,City East Campus,Adelaide
South Australian Institute of Business & Technology (SAIBT),,,
Southern Cross University,Western Australia,Perth,Perth
